companyName,website,stand,name,phone,email,countryName,mainStandHolderName
123COMPARE.ME@WTMKT21,https://123compare.me,EU400,123COMPARE.ME,,,Spain,Catalan Tourist Board
365 Adventures@WTMKT21,,ME300,365 Adventures,,,Qatar,Qatar Tourism
3FULLSTEPS.COM,,EU1254,3FULLSTEPS.COM,,,Cyprus,
3HB Hotels@WTMKT21,,"EU1050, EU1000",3HB Hotels,,,Portugal,Turismo de Portugal I.P
5 DIAMOND EXPERIENCE@WTMKT21,,"EU250, EU200, EU100",5 DIAMOND EXPERIENCE,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
A CORUÑA PROVINCE@WTMKT21,,EU700,A CORUÑA PROVINCE,,,Spain,Spanish Tourist Office - London
AAA hotels and Resort Pvt Ltd@WTMKT21,,AS100,AAA hotels and Resort Pvt Ltd,,,Maldives,Maldives Marketing and Public Relations Corporation
ABBA HOTELS@WTMKT21,,EU700,ABBA HOTELS,,,Spain,Spanish Tourist Office - London
Abbey Travelindo@WTMKT21,http://www.abbey.travel,AS500,Abbey Travelindo,+62361759736,dudy.dps@abbey.travel,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
ABTA Ltd,https://www.abta.com,TP830,ABTA - The Travel Association,+442031175000,membership@abta.co.uk,United Kingdom,
Abu Dhabi Motorsports Management (ADMM)@WTMKT21,https://www.yasmarinacircuit.com/,ME105,Abu Dhabi Motorsports Management (ADMM),+971506416279,renukaa.devi@ymc.ae,United Arab Emirates,Department of Culture and Tourism – Abu Dhabi
Abu Dhabi National Hotels@WTMKT21,,ME105,Abu Dhabi National Hotels,,,United Arab Emirates,Department of Culture and Tourism – Abu Dhabi
Acampora Hotels Srl,https://www.acamporatravel.it,EU209,Acampora Travel Dmc  & Acampora Hotels - Italy,0039 08118658558,info@acamporatravel.it,Italy,
Acampora Travel@WTMKT21,,"EU250, EU200, EU100",Acampora Travel,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
ACAVE@WTMKT21,https://www.acave.travel,EU400,"ACAVe Incoming Travel Agencies: goEs Travel, The Bicester Village Shopping Collection & Temps d'Oci Incoming",,,Spain,Catalan Tourist Board
